,GVKEY,datadate,tic,prccd,caldt,vwretx,filing_date,year,td_count,excess_return
627170,14256,2021-08-20,MXIM,101.65,8/20/2021,0.008133,filing date 0,2021,159,-0.007610189211479046
627464,10121,2017-02-24,NAVI,15.38,2/24/2017,0.001517,filing date 0,2017,207,-0.021499921641091713
627507,10121,2017-04-27,NAVI,15.54,4/27/2017,0.000614,filing date 0,2017,207,-0.030125858602479627
627573,10121,2017-08-01,NAVI,14.85,8/1/2017,0.002373,filing date 0,2017,207,-0.034786015534568615
627635,10121,2017-10-27,NAVI,11.85,10/27/2017,0.008372,filing date 0,2017,207,0.004863001470465811
627716,10121,2018-02-26,NAVI,13.25,2/26/2018,0.011497,filing date 0,2018,212,0.004429488878207932
627763,10121,2018-05-03,NAVI,13.29,5/3/2018,-0.002215,filing date 0,2018,212,-0.03330252847973092
627827,10121,2018-08-03,NAVI,13.21,8/3/2018,0.004733,filing date 0,2018,212,-0.013696564399768407
627891,10121,2018-11-02,NAVI,11.86,11/2/2018,-0.00639,filing date 0,2018,212,0.02426961034671815
627967,10121,2019-02-26,NAVI,12.6,2/26/2019,-0.000798,filing date 0,2019,211,-0.03310680640875585
628014,10121,2019-05-03,NAVI,13.92,5/3/2019,0.009752,filing date 0,2019,211,-0.0009652233341563843
628077,10121,2019-08-02,NAVI,13.71,8/2/2019,-0.007349,filing date 0,2019,211,-0.020790075280604947
628141,10121,2019-11-01,NAVI,13.88,11/1/2019,0.009565,filing date 0,2019,211,0.01615645678906552
628220,10121,2020-02-27,NAVI,11.285,2/27/2020,-0.043973,filing date 0,2020,210,-0.0822281855011241
628265,10121,2020-05-01,NAVI,7.025,5/1/2020,-0.028094,filing date 0,2020,210,-0.060921592120939616
628331,10121,2020-08-05,NAVI,8.625,8/5/2020,0.006357,filing date 0,2020,210,0.07206500938512583
628392,10121,2020-10-30,NAVI,8.01,10/30/2020,-0.012335,filing date 0,2020,210,0.10865475999757801
628472,10121,2021-02-26,NAVI,12.38,2/26/2021,-0.004737,filing date 0,2021,206,0.039104335376086596
628514,10121,2021-04-28,NAVI,16.2,4/28/2021,-0.000725,filing date 0,2021,206,0.09675529320225307
628577,10121,2021-07-28,NAVI,19.87,7/28/2021,-0.000175,filing date 0,2021,206,0.01305971938131012
628641,10121,2021-10-27,NAVI,19.2,10/27/2021,-0.004931,filing date 0,2021,206,0.02575815320759567
628771,7912,2016-05-04,NBL,35.59,5/4/2016,-0.005814,filing date 0,2016,211,0.0025744998367877026
628834,7912,2016-08-03,NBL,34.05,8/3/2016,0.003061,filing date 0,2016,211,-0.03920126158575066
628898,7912,2016-11-02,NBL,36.85,11/2/2016,-0.006591,filing date 0,2016,211,0.05715650313801701
628968,7912,2017-02-14,NBL,37.65,2/14/2017,0.004022,filing date 0,2017,209,-0.04668637755781768
629021,7912,2017-05-02,NBL,31.42,5/2/2017,0.001156,filing date 0,2017,209,-0.04385622151964641
629086,7912,2017-08-03,NBL,25.89,8/3/2017,-0.002195,filing date 0,2017,209,-0.0966118728926294
629148,7912,2017-10-31,NBL,27.87,10/31/2017,0.001029,filing date 0,2017,209,-0.004984119589937386
629223,7912,2018-02-20,NBL,29.12,2/20/2018,-0.006433,filing date 0,2018,211,0.16183851546162953
629272,7912,2018-05-01,NBL,33.07,5/1/2018,0.002448,filing date 0,2018,211,-0.03805241637811829
629338,7912,2018-08-03,NBL,32.89,8/3/2018,0.004733,filing date 0,2018,211,-0.1516141893584423
629401,7912,2018-11-01,NBL,26.23,11/1/2018,0.010745,filing date 0,2018,211,0.0719223816046426
629473,7912,2019-02-19,NBL,23.7,2/19/2019,0.001681,filing date 0,2019,215,0.017045543277549813
629525,7912,2019-05-03,NBL,24.93,5/3/2019,0.009752,filing date 0,2019,215,-0.023736114705378064
629588,7912,2019-08-02,NBL,21.88,8/2/2019,-0.007349,filing date 0,2019,215,0.07584312758164802
629656,7912,2019-11-07,NBL,20.56,11/7/2019,0.002741,filing date 0,2019,215,0.012006284759380037
629721,7912,2020-02-12,NBL,19.49,2/12/2020,0.006526,filing date 0,2020,147,-0.050653508291660376
629781,7912,2020-05-08,NBL,10.03,5/8/2020,0.016904,filing date 0,2020,147,-0.03427413171955174
629840,7912,2020-08-03,NBL,9.97,8/3/2020,0.006809,filing date 0,2020,147,0.012511176870889873
631686,104432,2017-02-27,NCLH,50.77,2/27/2017,0.000886,filing date 0,2017,216,0.013451841788828967
631737,104432,2017-05-10,NCLH,54.07,5/10/2017,0.001131,filing date 0,2017,216,-0.07890278735929845
631800,104432,2017-08-09,NCLH,58.36,8/9/2017,-0.000459,filing date 0,2017,216,-0.029256322059532214
631865,104432,2017-11-09,NCLH,56.89,11/9/2017,-0.003784,filing date 0,2017,216,-0.0025674057031039865
631938,104432,2018-02-27,NCLH,56.27,2/27/2018,-0.012787,filing date 0,2018,217,0.005748123155660978
631986,104432,2018-05-07,NCLH,50.31,5/7/2018,0.00336,filing date 0,2018,217,-0.024081590130173303
632052,104432,2018-08-09,NCLH,50.95,8/9/2018,-0.001413,filing date 0,2018,217,0.06900877312207299
632117,104432,2018-11-09,NCLH,48.75,11/9/2018,-0.009038,filing date 0,2018,217,0.04651318135572191
632189,104432,2019-02-27,NCLH,54.92,2/27/2019,-0.000489,filing date 0,2019,216,-0.017372422935658105
632240,104432,2019-05-10,NCLH,57.9,5/10/2019,0.003744,filing date 0,2019,216,-0.008089553630275748
632302,104432,2019-08-08,NCLH,48.6,8/8/2019,0.018645,filing date 0,2019,216,0.04433993645707868
632367,104432,2019-11-08,NCLH,51.82,11/8/2019,0.002516,filing date 0,2019,216,-0.004651114505005105
632441,104432,2020-02-27,NCLH,34.74,2/27/2020,-0.043973,filing date 0,2020,216,-0.03525226942827353
632496,104432,2020-05-15,NCLH,10.92,5/15/2020,0.004165,filing date 0,2020,216,0.1460011814534945
632555,104432,2020-08-10,NCLH,15.13,8/10/2020,0.002829,filing date 0,2020,216,0.08977078819836226
632619,104432,2020-11-09,NCLH,21.51,11/9/2020,0.01172,filing date 0,2020,216,0.10275124097452415
632693,104432,2021-02-26,NCLH,29.56,2/26/2021,-0.004737,filing date 0,2021,215,0.15469527504356229
632743,104432,2021-05-10,NCLH,27.95,5/10/2021,-0.010706,filing date 0,2021,215,-0.0428349077246436
632806,104432,2021-08-09,NCLH,24.66,8/9/2021,-0.000632,filing date 0,2021,215,0.03176747147188497
632871,104432,2021-11-09,NCLH,27.8,11/9/2021,-0.003898,filing date 0,2021,215,-0.08787103771867422
633199,149337,2017-03-01,NDAQ,72.18,3/1/2017,0.013418,filing date 0,2017,214,-0.0012061534167475685
633248,149337,2017-05-10,NDAQ,66.75,5/10/2017,0.001131,filing date 0,2017,214,0.013108122273649547
633306,149337,2017-08-02,NDAQ,74.67,8/2/2017,0.000275,filing date 0,2017,214,0.0014949604727167998
633374,149337,2017-11-07,NDAQ,72.02,11/7/2017,-9.7e-05,filing date 0,2017,214,0.025277627288223914
633450,149337,2018-02-28,NDAQ,80.75,2/28/2018,-0.011009,filing date 0,2018,214,0.00937422212458372
633494,149337,2018-05-02,NDAQ,87.91,5/2/2018,-0.007358,filing date 0,2018,214,-0.01038385025896027
633557,149337,2018-08-01,NDAQ,91.39,8/1/2018,-0.001194,filing date 0,2018,214,-0.006034695896070641
633625,149337,2018-11-06,NDAQ,89.61,11/6/2018,0.006183,filing date 0,2018,214,0.002571824859654237
633697,149337,2019-02-22,NDAQ,89.04,2/22/2019,0.006143,filing date 0,2019,214,0.02496185222800129
633744,149337,2019-05-01,NDAQ,92.32,5/1/2019,-0.007588,filing date 0,2019,214,0.01005470733436542
633810,149337,2019-08-05,NDAQ,94.36,8/5/2019,-0.029861,filing date 0,2019,214,0.0012195581518223975
633876,149337,2019-11-06,NDAQ,99.92,11/6/2019,0.000754,filing date 0,2019,214,0.03776809170809092
633950,149337,2020-02-25,NDAQ,112.41,2/25/2020,-0.030289,filing date 0,2020,213,-0.02204227270135628
634000,149337,2020-05-06,NDAQ,105.63,5/6/2020,-0.006916,filing date 0,2020,213,-0.018050156120328564
634063,149337,2020-08-05,NDAQ,130.36,8/5/2020,0.006357,filing date 0,2020,213,-0.0021862628283961794
634127,149337,2020-11-04,NDAQ,129.3,11/4/2020,0.022216,filing date 0,2020,213,-0.015972175094970176
634201,149337,2021-02-23,NDAQ,140.34,2/23/2021,0.001201,filing date 0,2021,212,-0.006487680949278651
634251,149337,2021-05-05,NDAQ,163.55,5/5/2021,0.000713,filing date 0,2021,212,-0.005285227237371681
634314,149337,2021-08-04,NDAQ,189.36,8/4/2021,-0.004548,filing date 0,2021,212,-0.0023027145005887206
634379,149337,2021-11-04,NDAQ,212.27,11/4/2021,0.004172,filing date 0,2021,212,0.001954526053693062
636053,4517,2017-02-23,NEE,129.17,2/23/2017,0.000281,filing date 0,2017,206,0.019967758379287215
636093,4517,2017-04-21,NEE,133.02,4/21/2017,-0.003016,filing date 0,2017,206,0.0017135080516781365
636159,4517,2017-07-26,NEE,145.49,7/26/2017,0.000366,filing date 0,2017,206,0.02374483856605314
636224,4517,2017-10-26,NEE,153.39,10/26/2017,0.001247,filing date 0,2017,206,0.0005301385180178642
636301,4517,2018-02-16,NEE,156.05,2/16/2018,0.000346,filing date 0,2018,204,-0.003176439855428037
636346,4517,2018-04-24,NEE,162.17,4/24/2018,-0.013453,filing date 0,2018,204,0.017718453617484142
636410,4517,2018-07-25,NEE,167.75,7/25/2018,0.009136,filing date 0,2018,204,-0.017051458762338934
636473,4517,2018-10-23,NEE,170.63,10/23/2018,-0.005384,filing date 0,2018,204,0.019002865758283027
636551,4517,2019-02-15,NEE,184.04,2/15/2019,0.010769,filing date 0,2019,204,0.011083156367315494
636596,4517,2019-04-23,NEE,189.79,4/23/2019,0.008914,filing date 0,2019,204,-0.004100993748249238
636660,4517,2019-07-24,NEE,210.06,7/24/2019,0.004643,filing date 0,2019,204,0.014794115259742169
636724,4517,2019-10-23,NEE,236.0,10/23/2019,0.002825,filing date 0,2019,204,-0.02718415341933833
636802,4517,2020-02-14,NEE,278.52,2/14/2020,0.001773,filing date 0,2020,205,0.005916542785806556
636849,4517,2020-04-23,NEE,241.14,4/23/2020,-0.000469,filing date 0,2020,205,-0.05424409154633947
636913,4517,2020-07-24,NEE,280.25,7/24/2020,-0.006059,filing date 0,2020,205,-0.005309882877388095
636977,4517,2020-10-23,NEE,303.07,10/23/2020,0.00348,filing date 0,2020,205,-0.7013188440733717
637053,4517,2021-02-12,NEE,83.13,2/12/2021,0.004717,filing date 0,2021,204,-0.037452276197089907
637101,4517,2021-04-23,NEE,78.24,4/23/2021,0.010928,filing date 0,2021,204,-0.027395366706034596
637165,4517,2021-07-26,NEE,76.91,7/26/2021,0.002535,filing date 0,2021,204,0.010764383930601085
637229,4517,2021-10-25,NEE,84.29,10/25/2021,0.005071,filing date 0,2021,204,0.011871143827740793
639168,7881,2017-02-21,NEM,37.44,2/21/2017,0.00613,filing date 0,2017,206,-0.03195603710692729
639211,7881,2017-04-24,NEM,33.71,4/24/2017,0.010759,filing date 0,2017,206,-0.05269813687834535
639275,7881,2017-07-25,NEM,36.24,7/25/2017,0.002977,filing date 0,2017,206,0.09231095759479335
639341,7881,2017-10-26,NEM,35.81,10/26/2017,0.001247,filing date 0,2017,206,-0.023388575464390327
639421,7881,2018-02-22,NEM,37.63,2/22/2018,0.001014,filing date 0,2018,206,-0.008126257586204888
639465,7881,2018-04-26,NEM,40.77,4/26/2018,0.010462,filing date 0,2018,206,-0.038031157391977044
639528,7881,2018-07-26,NEM,37.81,7/26/2018,-0.003051,filing date 0,2018,206,-0.01045500101471486
639592,7881,2018-10-25,NEM,29.6,10/25/2018,0.018863,filing date 0,2018,206,-0.03373745776869119
639672,7881,2019-02-21,NEM,35.41,2/21/2019,-0.003535,filing date 0,2019,336,-0.015403222599845057
639716,7881,2019-04-25,NEM,31.63,4/25/2019,-0.000425,filing date 0,2019,336,-0.04157661108534394
639830,7881,2019-07-25,NEM,38.25,7/25/2019,-0.005346,filing date 0,2019,336,-0.05554206359753733
639974,7881,2019-11-05,NEM,37.55,11/5/2019,-0.001148,filing date 0,2019,336,-0.031095228026170152
640118,7881,2020-02-20,NEM,48.1,2/20/2020,-0.0039,filing date 0,2020,418,0.09958452593825151
640222,7881,2020-05-05,NEM,64.91,5/5/2020,0.009042,filing date 0,2020,418,-0.009072215404384965
640342,7881,2020-07-30,NEM,65.66,7/30/2020,-0.003731,filing date 0,2020,418,0.011227810725481513
640470,7881,2020-10-29,NEM,60.34,10/29/2020,0.01189,filing date 0,2020,418,0.07262372644784576
640620,7881,2021-02-18,NEM,57.36,2/18/2021,-0.004667,filing date 0,2021,414,0.007616438651965485
640718,7881,2021-04-29,NEM,62.31,4/29/2021,0.006712,filing date 0,2021,414,-0.02731844272417383
640834,7881,2021-07-22,NEM,60.21,7/22/2021,0.001999,filing date 0,2021,414,-0.028295858912992355
640972,7881,2021-10-28,NEM,54.92,10/28/2021,0.009912,filing date 0,2021,414,-0.08531383481589194
641331,147579,2017-01-27,NFLX,142.45,1/27/2017,-0.001027,filing date 0,2017,200,0.020718831323931597
641388,147579,2017-04-20,NFLX,141.18,4/20/2017,0.007542,filing date 0,2017,200,0.06733212640885089
641450,147579,2017-07-19,NFLX,183.86,7/19/2017,0.005318,filing date 0,2017,200,0.019503677448031498
641514,147579,2017-10-18,NFLX,195.54,10/18/2017,0.00077,filing date 0,2017,200,-0.037355683189446376
641583,147579,2018-01-29,NFLX,284.59,1/29/2018,-0.006511,filing date 0,2018,201,-0.016905507386960505
641638,147579,2018-04-18,NFLX,334.52,4/18/2018,0.000885,filing date 0,2018,201,-0.038573835320256156
641701,147579,2018-07-18,NFLX,375.13,7/18/2018,0.001869,filing date 0,2018,201,-0.04308383281412709
641766,147579,2018-10-18,NFLX,346.71,10/18/2018,-0.014505,filing date 0,2018,201,-0.062321113637656245
641834,147579,2019-01-29,NFLX,328.9,1/29/2019,-0.001602,filing date 0,2019,201,-0.010726808621524642
641890,147579,2019-04-18,NFLX,360.35,4/18/2019,0.001555,filing date 0,2019,201,0.04559573847743903
641953,147579,2019-07-19,NFLX,315.1,7/19/2019,-0.006164,filing date 0,2019,201,-0.03047647317158153
642017,147579,2019-10-18,NFLX,275.3,10/18/2019,-0.00397,filing date 0,2019,201,-0.07740785081463031
642086,147579,2020-01-29,NFLX,343.16,1/29/2020,-0.000925,filing date 0,2020,204,0.03531802266767303
642143,147579,2020-04-21,NFLX,433.83,4/21/2020,-0.03047,filing date 0,2020,204,-0.033375676808253596
642205,147579,2020-07-20,NFLX,502.41,7/20/2020,0.008785,filing date 0,2020,204,-0.034600030271491944
642272,147579,2020-10-22,NFLX,485.23,10/22/2020,0.005169,filing date 0,2020,204,0.012449130752663629
642338,147579,2021-01-28,NFLX,538.6,1/28/2021,0.009316,filing date 0,2021,202,0.027638168072240843
642396,147579,2021-04-22,NFLX,508.78,4/22/2021,-0.009314,filing date 0,2021,202,-0.00957767692781919
642459,147579,2021-07-22,NFLX,511.77,7/22/2021,0.001999,filing date 0,2021,202,0.0007183128231216251
642523,147579,2021-10-21,NFLX,653.16,10/21/2021,0.002985,filing date 0,2021,202,0.06059436324525658
642656,29173,2016-05-03,NFX,35.51,5/3/2016,-0.008702,filing date 0,2016,210,0.012118266957055757
642720,29173,2016-08-03,NFX,44.66,8/3/2016,0.003061,filing date 0,2016,210,0.10135019250020405
642783,29173,2016-11-01,NFX,40.49,11/1/2016,-0.006814,filing date 0,2016,210,-0.04826052982330131
642858,29173,2017-02-21,NFX,42.49,2/21/2017,0.00613,filing date 0,2017,209,-0.12830067285170965
642907,29173,2017-05-02,NFX,34.02,5/2/2017,0.001156,filing date 0,2017,209,-0.005115203739033958
642970,29173,2017-08-01,NFX,28.22,8/1/2017,0.002373,filing date 0,2017,209,-0.033569782576637675
643034,29173,2017-10-31,NFX,30.79,10/31/2017,0.001029,filing date 0,2017,209,0.012897855284872195
643109,29173,2018-02-20,NFX,25.73,2/20/2018,-0.006433,filing date 0,2018,210,-0.05270459908148484
643158,29173,2018-05-01,NFX,30.08,5/1/2018,0.002448,filing date 0,2018,210,-0.08808723317826594
643221,29173,2018-07-31,NFX,28.72,7/31/2018,0.004772,filing date 0,2018,210,-0.05382625008186048
643286,29173,2018-10-31,NFX,20.2,10/31/2018,0.010865,filing date 0,2018,210,0.13747234285610643
643643,7974,2017-02-22,NI,23.17,2/22/2017,-0.001103,filing date 0,2017,210,0.03365265287088692
643692,7974,2017-05-03,NI,24.01,5/3/2017,-0.001364,filing date 0,2017,210,0.0025255747319730126
643755,7974,2017-08-02,NI,26.67,8/2/2017,0.000275,filing date 0,2017,210,0.0029924425176095504
643819,7974,2017-11-01,NI,26.58,11/1/2017,0.0016,filing date 0,2017,210,0.0256171076422691
643893,7974,2018-02-20,NI,23.02,2/20/2018,-0.006433,filing date 0,2018,211,0.0002825813332936189
643943,7974,2018-05-02,NI,25.38,5/2/2018,-0.007358,filing date 0,2018,211,0.03270000508438242
644006,7974,2018-08-01,NI,25.9,8/1/2018,-0.001194,filing date 0,2018,211,0.011357437006423998
644071,7974,2018-11-01,NI,25.37,11/1/2018,0.010745,filing date 0,2018,211,0.013375834181301283
644144,7974,2019-02-20,NI,26.28,2/20/2019,0.001644,filing date 0,2019,209,-0.0232389135063108
644193,7974,2019-05-01,NI,27.4,5/1/2019,-0.007588,filing date 0,2019,209,0.007906046255451105
644256,7974,2019-07-31,NI,29.69,7/31/2019,-0.01095,filing date 0,2019,209,0.006378608804769592
644320,7974,2019-10-30,NI,27.51,10/30/2019,0.003278,filing date 0,2019,209,-0.013586410032166985
644402,7974,2020-02-28,NI,27.02,2/28/2020,-0.008407,filing date 0,2020,211,0.04328981900817941
644449,7974,2020-05-06,NI,22.92,5/6/2020,-0.006916,filing date 0,2020,211,-0.06421456450227381
644512,7974,2020-08-05,NI,24.36,8/5/2020,0.006357,filing date 0,2020,211,0.011033446294903104
644574,7974,2020-11-02,NI,23.45,11/2/2020,0.012163,filing date 0,2020,211,-0.043927394849833545
644646,7974,2021-02-17,NI,22.67,2/17/2021,-0.000211,filing date 0,2021,211,0.01480847034485655
644700,7974,2021-05-05,NI,25.78,5/5/2021,0.000713,filing date 0,2021,211,0.015207685495551848
644763,7974,2021-08-04,NI,25.25,8/4/2021,-0.004548,filing date 0,2021,211,-0.005121422352555971
644827,7974,2021-11-03,NI,25.29,11/3/2021,0.00677,filing date 0,2021,211,-0.0018126169139323078
645122,7906,2017-01-05,NKE,53.06,1/5/2017,-0.000715,filing date 0,2017,192,0.0015505635779128335
645183,7906,2017-04-04,NKE,55.04,4/4/2017,0.000585,filing date 0,2017,192,-0.006759549419393385
645257,7906,2017-07-20,NKE,59.1,7/20/2017,-6.7e-05,filing date 0,2017,192,0.02640883234712388
645312,7906,2017-10-06,NKE,52.42,10/6/2017,-0.001071,filing date 0,2017,192,-0.02367523506273539
645374,7906,2018-01-05,NKE,63.98,1/5/2018,0.007046,filing date 0,2018,192,0.0034157560461680614
645435,7906,2018-04-05,NKE,69.59,4/5/2018,0.006989,filing date 0,2018,192,-0.02523265215090975
645512,7906,2018-07-25,NKE,77.16,7/25/2018,0.009136,filing date 0,2018,192,0.012024523288104882
645563,7906,2018-10-05,NKE,80.12,10/5/2018,-0.005611,filing date 0,2018,192,-0.025388026669101005
645626,7906,2019-01-08,NKE,76.73,1/8/2019,0.009786,filing date 0,2019,191,-0.013973880382872839
645686,7906,2019-04-04,NKE,85.28,4/4/2019,0.002128,filing date 0,2019,191,-0.003984508155506439
645761,7906,2019-07-23,NKE,86.7,7/23/2019,0.006845,filing date 0,2019,191,0.004649421473442716
645813,7906,2019-10-04,NKE,93.07,10/4/2019,0.014218,filing date 0,2019,191,7.910785348808069e-05
645877,7906,2020-01-07,NKE,101.78,1/7/2020,-0.002768,filing date 0,2020,194,-0.014963259027117481
645940,7906,2020-04-07,NKE,84.16,4/7/2020,-0.001677,filing date 0,2020,194,-0.0387869606234843
646015,7906,2020-07-24,NKE,98.43,7/24/2020,-0.006059,filing date 0,2020,194,-0.020512669503330083
646068,7906,2020-10-08,NKE,129.71,10/8/2020,0.007963,filing date 0,2020,194,-0.03427052629938654
646128,7906,2021-01-05,NKE,141.23,1/5/2021,0.006972,filing date 0,2021,190,0.010858453289104952
646263,7906,2021-07-20,NKE,159.74,7/20/2021,0.015206,filing date 0,2021,190,0.018022960046696568
646317,7906,2021-10-05,NKE,149.46,10/5/2021,0.010503,filing date 0,2021,190,0.015214004991121799
646670,30137,2017-03-01,NKTR,13.01,3/1/2017,0.013418,filing date 0,2017,215,0.0946665458556466
646719,30137,2017-05-10,NKTR,18.97,5/10/2017,0.001131,filing date 0,2017,215,0.1272456954610992
646782,30137,2017-08-09,NKTR,18.68,8/9/2017,-0.000459,filing date 0,2017,215,-0.014600734201068666
646846,30137,2017-11-08,NKTR,30.3,11/8/2017,0.001617,filing date 0,2017,215,0.3842176531775702
646922,30137,2018-03-01,NKTR,84.55,3/1/2018,-0.013329,filing date 0,2018,216,0.12794131281767251
646971,30137,2018-05-10,NKTR,77.29,5/10/2018,0.009268,filing date 0,2018,216,0.06644394698545564
647034,30137,2018-08-09,NKTR,59.37,8/9/2018,-0.001413,filing date 0,2018,216,0.0850210206370492
647098,30137,2018-11-08,NKTR,35.31,11/8/2018,-0.002444,filing date 0,2018,216,0.01669332891215025
647173,30137,2019-03-01,NKTR,38.13,3/1/2019,0.006842,filing date 0,2019,215,-0.09769810380798882
647221,30137,2019-05-09,NKTR,35.45,5/9/2019,-0.003034,filing date 0,2019,215,0.0390265725306117
647285,30137,2019-08-09,NKTR,20.92,8/9/2019,-0.006728,filing date 0,2019,215,-0.3336382294171367
647348,30137,2019-11-07,NKTR,18.7,11/7/2019,0.002741,filing date 0,2019,215,0.11929302244739692
647424,30137,2020-02-28,NKTR,20.81,2/28/2020,-0.008407,filing date 0,2020,215,-0.05778945567070559
647473,30137,2020-05-08,NKTR,20.77,5/8/2020,0.016904,filing date 0,2020,215,0.11509499500467646
647536,30137,2020-08-07,NKTR,21.85,8/7/2020,0.00064,filing date 0,2020,215,-0.07486788479819995
647600,30137,2020-11-06,NKTR,17.42,11/6/2020,-0.000144,filing date 0,2020,215,-0.004920200560159849
647675,30137,2021-02-26,NKTR,22.69,2/26/2021,-0.004737,filing date 0,2021,213,0.047311406083157315
647724,30137,2021-05-07,NKTR,20.1,5/7/2021,0.007251,filing date 0,2021,213,0.036102277038451924
647787,30137,2021-08-06,NKTR,15.77,8/6/2021,0.001489,filing date 0,2021,213,-0.09987423283172792
647851,30137,2021-11-05,NKTR,13.45,11/5/2021,0.003663,filing date 0,2021,213,-0.17655820557274926
649685,100873,2017-02-17,NLSN,45.08,2/17/2017,0.001984,filing date 0,2017,205,0.0007295860995881753
649730,100873,2017-04-25,NLSN,39.98,4/25/2017,0.005989,filing date 0,2017,205,-0.015413074546282268
649795,100873,2017-07-27,NLSN,41.21,7/27/2017,-0.000979,filing date 0,2017,205,0.07788293604245988
649858,100873,2017-10-25,NLSN,38.56,10/25/2017,-0.004605,filing date 0,2017,205,-0.08603130932911007
649930,100873,2018-02-08,NLSN,33.9,2/8/2018,-0.037465,filing date 0,2018,206,-0.11282975550189811
649983,100873,2018-04-26,NLSN,31.91,4/26/2018,0.010462,filing date 0,2018,206,-0.11104284964307665
650046,100873,2018-07-26,NLSN,22.11,7/26/2018,-0.003051,filing date 0,2018,206,-0.1926180011702221
650110,100873,2018-10-25,NLSN,24.99,10/25/2018,0.018863,filing date 0,2018,206,-0.013718819743376187
650194,100873,2019-02-28,NLSN,26.2,2/28/2019,-0.002608,filing date 0,2019,215,0.05433819996464839
650236,100873,2019-04-30,NLSN,25.53,4/30/2019,0.000859,filing date 0,2019,215,-0.02451725131802507
650300,100873,2019-07-31,NLSN,23.16,7/31/2019,-0.01095,filing date 0,2019,215,0.011532864453723923
650370,100873,2019-11-07,NLSN,19.91,11/7/2019,0.002741,filing date 0,2019,215,0.01317923614322436
650445,100873,2020-02-27,NLSN,18.58,2/27/2020,-0.043973,filing date 0,2020,211,-0.09728839868849348
650489,100873,2020-04-30,NLSN,14.73,4/30/2020,-0.008969,filing date 0,2020,211,-0.00774072922003588
650556,100873,2020-08-05,NLSN,15.01,8/5/2020,0.006357,filing date 0,2020,211,0.08548021003247208
650618,100873,2020-11-02,NLSN,14.03,11/2/2020,0.012163,filing date 0,2020,211,-0.027639294031561512
650696,100873,2021-02-25,NLSN,22.7,2/25/2021,-0.024547,filing date 0,2021,207,0.037573885028083676
650745,100873,2021-05-06,NLSN,26.64,5/6/2021,0.008069,filing date 0,2021,207,0.08065530006707755
650803,100873,2021-07-29,NLSN,23.64,7/29/2021,0.004271,filing date 0,2021,207,-0.026292051834527985
650867,100873,2021-10-28,NLSN,20.69,10/28/2021,0.009912,filing date 0,2021,207,0.06021288350592924
651182,7985,2017-01-30,NOC,229.48,1/30/2017,-0.005962,filing date 0,2017,205,0.006042628388136295
651242,7985,2017-04-26,NOC,248.06,4/26/2017,-0.000476,filing date 0,2017,205,-0.015393871409998594
651305,7985,2017-07-26,NOC,263.86,7/26/2017,0.000366,filing date 0,2017,205,-0.0005624930714154264
651369,7985,2017-10-25,NOC,304.75,10/25/2017,-0.004605,filing date 0,2017,205,0.006293704619138696
651433,7985,2018-01-29,NOC,338.34,1/29/2018,-0.006511,filing date 0,2018,205,0.039554196850640544
651493,7985,2018-04-25,NOC,332.62,4/25/2018,0.001845,filing date 0,2018,205,-0.06238224912212764
651556,7985,2018-07-25,NOC,295.5,7/25/2018,0.009136,filing date 0,2018,205,-0.061163913578786144
651620,7985,2018-10-24,NOC,285.86,10/24/2018,-0.030793,filing date 0,2018,205,-0.12084897054676502
651686,7985,2019-01-31,NOC,275.55,1/31/2019,0.008829,filing date 0,2019,205,-0.029450718022175137
651743,7985,2019-04-24,NOC,280.0,4/24/2019,-0.002134,filing date 0,2019,205,-0.025753788862190152
651806,7985,2019-07-24,NOC,342.97,7/24/2019,0.004643,filing date 0,2019,205,0.09215252652013528
651871,7985,2019-10-24,NOC,356.91,10/24/2019,0.001984,filing date 0,2019,205,-0.02767537633468531
651937,7985,2020-01-30,NOC,384.87,1/30/2020,0.003226,filing date 0,2020,204,-0.06214544298797742
651999,7985,2020-04-29,NOC,331.83,4/29/2020,0.026168,filing date 0,2020,204,-0.05655909958742733
652063,7985,2020-07-30,NOC,326.01,7/30/2020,-0.003731,filing date 0,2020,204,0.016249496336289138
652122,7985,2020-10-22,NOC,302.99,10/22/2020,0.005169,filing date 0,2020,204,-0.007573355601929732
652188,7985,2021-01-28,NOC,293.03,1/28/2021,0.009316,filing date 0,2021,207,0.00664543897769998
652251,7985,2021-04-29,NOC,352.22,4/29/2021,0.006712,filing date 0,2021,207,0.09256559419657095
652314,7985,2021-07-29,NOC,365.66,7/29/2021,0.004271,filing date 0,2021,207,0.006937873117370819
652378,7985,2021-10-28,NOC,358.64,10/28/2021,0.009912,filing date 0,2021,207,-0.10758451769730137
652707,63892,2017-02-17,NOV,39.31,2/17/2017,0.001984,filing date 0,2017,207,-0.0204681439083243
652755,63892,2017-04-28,NOV,34.97,4/28/2017,-0.001764,filing date 0,2017,207,-0.03179063793948489
652818,63892,2017-07-28,NOV,33.11,7/28/2017,-0.001454,filing date 0,2017,207,-0.03296404760377003
652882,63892,2017-10-27,NOV,33.23,10/27/2017,0.008372,filing date 0,2017,207,-0.001782625242531699
652958,63892,2018-02-16,NOV,35.61,2/16/2018,0.000346,filing date 0,2018,207,0.009697491789181445
653006,63892,2018-04-27,NOV,38.86,4/27/2018,0.001139,filing date 0,2018,207,0.0063559726474400335
653069,63892,2018-07-27,NOV,46.91,7/27/2018,-0.006497,filing date 0,2018,207,0.12402553413197237
